Id,Type,Threshold
0,1,0.6833097983659391
1,1,0.6416214334531392
2,1,0.5609708018620883
3,0,0.5553871859586474
4,0,0.6740039658167659
5,1,0.444742602744821
6,0,0.7097787265120532
7,0,0.05753982411003955
8,0,0.37784913458572866
9,1,0.7590024156269944
10,0,0.024131631493430117
11,0,0.2499836210672839
12,1,0.04168569660417554
13,1,0.19304474019322493
14,1,0.47247467624418404
15,0,0.9013220419415048
16,0,0.2827585564748756
17,0,0.26043292400656637
18,0,0.9641776786287062
19,1,0.21836398694842962
20,1,0.7009335444923548
21,1,0.1929735333478596
22,1,0.15741151051439417
23,1,0.12461580414969953
24,1,0.8009424654311328
25,1,0.6229032879331339
26,1,0.9781517571515075
27,0,0.8685922150605763
28,0,0.8298310327405521
29,1,0.8829315907386512
30,1,0.8618520635962658
31,1,0.488405837168846
32,1,0.5498457144225617
33,0,0.34131771741031525
34,0,0.5244423368364538
35,1,0.8751893607204885
36,1,0.9776109355239222
37,0,0.35156639153777736
38,0,0.8918472051045209
39,1,0.2998879596398869
40,1,0.6562065819165713
41,0,0.2771416034297405
42,0,0.583399713338615
43,0,0.34484079692531955
44,1,0.17023652402446143
45,1,0.055923311436060774
46,0,0.5513243510165966
47,0,0.08407668030296767
48,0,0.8822546692631771
49,0,0.09707334902449172
50,1,0.710679653628047
51,1,0.4951000069858408
52,1,0.9743585072160575
53,0,0.5685666721948458
54,1,0.8788374545275722
55,1,0.7642264527757465
56,0,0.5943842216789283
57,0,0.8085155403922748
58,0,0.44966054694140767
59,1,0.9499754151729646
60,1,0.8459758219116591
61,0,0.44104559567232593
62,0,0.24626944452006627
63,0,0.5098507946436855
64,0,0.09930551684959932
65,1,0.3315543582236188
66,0,0.9741520837504345
67,0,0.07332253982833559
68,1,0.7405310013885804
69,1,0.5549970188771594
70,0,0.7518829284140274
71,0,0.4511111983858861
72,0,0.827602918953836
73,0,0.2451720048555185
74,0,0.06523089823493855
75,0,0.7426053073643255
76,0,0.482733202006999
77,0,0.35723654557518136
78,0,0.5323897959265853
79,0,0.7919751396578681
80,1,0.05430975276846939
81,1,0.13109495026141083
82,0,0.22683358069979942
83,0,0.7766797569509561
84,1,0.5925209983664641
85,0,0.8373554372613876
86,0,0.19414393772888006
87,0,0.2910931579963172
88,0,0.06650525006151342
89,0,0.9984421511383823
90,1,0.8304649306989924
91,1,0.92659197317276
92,0,0.3294574523196674
93,1,0.8127442323150769
94,0,0.41903676553609215
95,0,0.25776946880838314
96,0,0.8311863429322894
97,0,0.9091293634123639
98,1,0.9027051822840351
99,0,0.6489116554693977
100,1,0.6509920024510623
101,1,0.6986262488582721
102,0,0.583293338687359
103,1,0.6132899105385852
104,1,0.8562996739269454
105,0,0.6631418083553371
106,0,0.7021803514092729
107,0,0.6408814636812804
108,1,0.871393674773953
109,1,0.927741090697564
110,1,0.01921664292299763
111,0,0.772472167210766
112,1,0.6532249667909557
113,1,0.9649831535158783
114,0,0.2866027022059091
115,0,0.7718338367040815
116,1,0.7203372838249845
117,0,0.6522763743403716
118,0,0.5451153436429755
119,1,0.11289132103987431
120,0,0.5597919115098782
121,1,0.47321563037539427
122,1,0.7452080743146048
123,1,0.9114123959967142
124,0,0.4077941310202555
125,1,0.6800876480156806
126,1,0.4521108760507365
127,1,0.4032693923276275
128,1,0.45548452497209513
129,1,0.8085698659601918
130,0,0.17892671267337823
131,1,0.193926109275124
132,0,0.7612316673628241
133,0,0.9512580488980916
134,0,0.24842628926558585
135,0,0.6293170819636817
136,0,0.33961210417629306
137,0,0.2982961609902708
138,1,0.7402385392917551
139,0,0.2511859992623534
140,0,0.37927424743122373
141,0,0.9214009533818299
142,0,0.09434924090196728
143,0,0.6339220964394274
144,1,0.5546370847569609
145,0,0.40021583511584946
146,0,0.5275513278234273
147,0,0.8474853317509077
148,1,0.22335788933779643
149,1,0.9202473222231841
150,1,0.8712021593627137
151,1,0.03113233867944154
152,0,0.9182147949221312
153,0,0.8362527044036095
154,1,0.6190716299332363
155,1,0.8363141121041466
156,0,0.8682171483328
157,1,0.8979707280360038
158,0,0.3358506876542253
159,0,0.5704711521823495
160,0,0.7326296034161618
161,1,0.2902442322918709
162,0,0.9029774237852388
163,0,0.8703717973689611
164,0,0.39405554197377946
165,0,0.4079895673046442
166,0,0.9635521041892
167,0,0.07243843371167591
168,1,0.015724315786867282
169,1,0.7830380710398893
170,1,0.591740392599428
171,1,0.9940662388342939
172,0,0.9026469644202215
173,0,0.9563431030374032
174,0,0.41686409860542084
175,0,0.4485188552171139
176,1,0.05004083718302177
177,1,0.5910316068606374
178,0,0.35199684335057946
179,0,0.7937102468231275
180,1,0.9986763787486086
181,1,0.6312261668748214
182,1,0.18694760676452105
183,0,0.5640294428124415
184,1,0.7727290326624753
185,1,0.2016699429855976
186,0,0.9436459256217231
187,1,0.8176901083468885
188,1,0.5107147608236601
189,0,0.5414500098021768
190,1,0.8119532125767636
191,0,0.19076501383184874
192,0,0.07260428768076255
193,1,0.2591493369270067
194,0,0.5514500319376524
195,1,0.06661172611058741
196,1,0.6142230881261392
197,1,0.08105362526446691
198,0,0.35917115612536055
199,0,0.24749915458157856
