Id,Type,Threshold
0,1.0,0.43992695781887514
1,0.0,0.37748706960193246
2,1.0,0.6375860395412692
3,0.0,0.3257041712626433
4,0.0,0.9743218764267716
5,0.0,0.37019953550944285
6,1.0,0.9234117828106156
7,0.0,0.6627835697962229
8,0.0,0.37346752101751657
9,0.0,0.41884315584876486
10,1.0,0.5081355080238602
11,1.0,0.4790225891095393
12,0.0,0.6743294487905206
13,0.0,0.9229577613144087
14,1.0,0.5196701715952498
15,1.0,0.5711187101015103
16,1.0,0.7994290730326938
17,1.0,0.8039097972902701
18,0.0,0.7236247697471058
19,1.0,0.7629654704020802
20,0.0,0.5823894647234888
21,0.0,0.5547258094937026
22,0.0,0.35251165758567116
23,1.0,0.8529557303595212
24,1.0,0.9159740488744122
25,1.0,0.5089097220491491
26,0.0,0.6055280304492614
27,1.0,0.5560700483060204
28,1.0,0.4104997342623754
29,0.0,0.4644429047353519
30,0.0,0.3576073844262486
31,1.0,0.07631946291756209
32,0.0,0.7095175043308579
33,1.0,0.7554220654803806
34,1.0,0.8677840827498473
35,0.0,0.9846431748794546
36,0.0,0.46139450248494807
37,1.0,0.8948881896023333
38,1.0,0.9659824483078405
39,0.0,0.5361916237732132
40,0.0,0.7447371416695326
41,1.0,0.8300509269542506
42,0.0,0.08326449176968098
43,1.0,0.1870861997596065
44,1.0,0.3737565940812422
45,1.0,0.5748278640503839
46,1.0,0.871506627327376
47,1.0,0.4615885967211113
48,1.0,0.6904273584234404
49,1.0,0.782865025107338
50,0.0,0.14419393797093427
51,1.0,0.49641511321884524
52,0.0,0.5791465527787869
53,1.0,0.40597128224128765
54,1.0,0.9858325275517464
55,0.0,0.6046432100391324
56,1.0,0.3017311111368287
57,0.0,0.09525541050131092
58,1.0,0.9846643970468157
59,0.0,0.35170906779611266
60,1.0,0.7879488026692328
61,0.0,0.2248647888096833
62,1.0,0.2096757353270562
63,1.0,0.4317836863203508
64,1.0,0.4966824410003632
65,1.0,0.8450870222245299
66,0.0,0.3618616384450123
67,0.0,0.21353880521470947
68,0.0,0.9523861238468296
69,1.0,0.2302597401341967
70,0.0,0.28339091487578494
71,1.0,0.7456979617037436
72,1.0,0.8163522582725479
73,1.0,0.5964624621594835
74,1.0,0.505355987211627
75,1.0,0.3323001919862085
76,1.0,0.9260857042355624
77,0.0,0.8989039581243202
78,0.0,0.45525027824315334
79,0.0,0.4310519488754131
80,0.0,0.6070547428326728
81,1.0,0.3790392658698817
82,1.0,0.920463572961718
83,0.0,0.9544458485838425
84,0.0,0.10133530383265221
85,1.0,0.21070639236896704
86,0.0,0.9341869734273971
87,1.0,0.7674690453868407
88,0.0,0.5410480243244834
89,1.0,0.29911623759825967
90,0.0,0.2706278950679487
91,1.0,0.5479828375169093
92,0.0,0.3457154801757085
93,0.0,0.7660811402537573
94,0.0,0.27629817660519185
95,0.0,0.06911872675071895
96,1.0,0.43941121659929583
97,1.0,0.871559933420267
98,1.0,0.7477195874114717
99,0.0,0.3068183181056189
100,0.0,0.7142843526413108
101,1.0,0.37268571287774055
102,0.0,0.2328574344835922
103,0.0,0.2269146463219086
104,1.0,0.9858296398318714
105,0.0,0.3802168284480111
106,0.0,0.9645226710792734
107,1.0,0.13423811762744198
108,0.0,0.3013362345605024
109,1.0,0.5940852167746753
110,0.0,0.8517429045590619
111,0.0,0.1587495450343095
112,0.0,0.7209310394338393
113,0.0,0.5096333400225871
114,1.0,0.8047200038883771
115,1.0,0.08980755160480558
116,0.0,0.24117129335659593
117,1.0,0.41388020614154686
118,0.0,0.6201255694816531
119,1.0,0.46364687741774624
120,0.0,0.7489085451469627
121,0.0,0.37474209194757413
122,0.0,0.548163914434601
123,1.0,0.6385777916765766
124,1.0,0.25154593183052587
125,0.0,0.6022926445159555
126,0.0,0.03087022924213989
127,1.0,0.4370515979514622
128,0.0,0.47255145490096684
