Id,Threshold,Type
0,0.6901147081917288,0
1,0.7804444845570113,1
2,0.5823298427073238,0
3,0.2839051197409259,0
4,0.6823890648118128,1
5,0.5066304108277665,1
6,0.8589830731620839,1
7,0.558680169998312,1
8,0.25378089493939415,0
9,0.7015279288631247,0
10,0.5833761287757397,0
11,0.20850220783948237,0
12,0.411637244455058,0
13,0.062195181935953525,1
14,0.5320447336149103,0
15,0.20282325815939073,0
16,0.15510658681300737,0
17,0.3248758539842025,0
18,0.020086955108331028,1
19,0.037935733367972624,0
20,0.9214847346837489,1
21,0.2255714039575727,0
22,0.4665890551310067,0
23,0.27851554321924266,0
24,0.37255707635304425,0
25,0.13809356650414373,0
26,0.5158539882665119,0
27,0.16083070174903857,1
28,0.8788004039919166,1
29,0.21093689706332075,0
30,0.6397259026013689,1
31,0.9084322412187646,0
32,0.5817148646151563,1
33,0.4119808066451919,1
34,0.5035338225694632,0
35,0.9970600378482394,1
36,0.15050755230278634,1
37,0.3280393259464036,0
38,0.6795636300984819,0
39,0.6098905796266824,1
40,0.7143033625124272,0
41,0.8119843441001182,1
42,0.4631201764859211,1
43,0.15832031579700068,0
44,0.29724073950098073,1
45,0.8025335443528352,1
46,0.8606439078894412,0
47,0.5493848526059258,1
48,0.27244848378579123,0
49,0.7046950926007046,0
50,0.6434076191529416,1
51,0.6389780728831638,1
52,0.5215862772166967,0
53,0.3840793347542629,1
54,0.0417440333297463,0
55,0.1176680988389347,1
56,0.22691751616488343,0
57,0.3311499161545275,1
58,0.6785206965040719,0
59,0.0674848669775513,1
60,0.7071542008752231,0
61,0.31438124100373066,1
62,0.08317950808100727,0
63,0.7595638930992965,1
64,0.025449427575955808,0
65,0.6425421279431373,0
66,0.12269136380893886,1
67,0.27996435280598997,1
68,0.399862359918982,0
69,0.37207481221718797,1
70,0.27078209172403755,0
71,0.04050067843271432,0
72,0.1473268816167964,0
73,0.49358691778283603,1
74,0.3055837144516813,1
75,0.9073494839590562,1
76,0.8722683989531547,0
77,0.6563472637308286,1
78,0.7985629136927489,1
79,0.018331546974541424,0
80,0.9674754429995415,1
81,0.1156194793275207,1
82,0.5246812797408332,0
83,0.5937725161291683,1
84,0.40599238659081516,1
85,0.9324026296001987,0
86,0.8511098444808106,0
87,0.5012566876381196,0
88,0.4086559930087078,0
89,0.05923433553551194,0
90,0.8572298593090159,1
91,0.3141039519695751,0
92,0.320455965482747,1
93,0.7418666232347038,0
94,0.8458600397197629,1
95,0.2803857161094383,0
96,0.5566526711396796,1
97,0.3016024477273038,0
98,0.7939731964445339,0
99,0.8839335959869155,0
100,0.11496723068780601,1
101,0.3767825746697434,0
102,0.8528513705240995,1
103,0.6009496416360024,0
104,0.753402524267669,0
105,0.9925235696895733,0
106,0.6426453355554459,1
107,0.6038180083678659,1
108,0.49482670857568944,1
109,0.30208191043712784,1
110,0.6924725526013945,1
111,0.7343698020335633,0
112,0.7646924531092935,0
113,0.9786111117607843,0
114,0.320784949820484,1
115,0.553609718825126,0
116,0.8383114369389201,0
117,0.5987308965220046,1
118,0.6830339886545799,1
119,0.20074390310513934,0
120,0.2968983011045735,1
121,0.23928660683328906,0
122,0.35806872969621983,1
123,0.886922601194426,0
124,0.9175758394380813,0
125,0.44238181178387614,0
126,0.5438334858375674,1
127,0.8148963625800753,1
128,0.3644679679230053,1
129,0.9781426449563126,0
130,0.3670740056942722,0
131,0.006681004941021307,1
132,0.5475743424486523,1
133,0.7311702121376645,1
134,0.241089862885568,0
135,0.04478130557192572,1
136,0.6719531441695149,1
137,0.0019240332419651063,0
138,0.00312446077639994,0
139,0.5932912881347591,1
140,0.28360958817385706,0
141,0.12178192483223771,0
142,0.7726864205379895,0
143,0.5093932170763362,1
144,0.7128315097445568,1
145,0.6344853138701918,0
146,0.8834869830564597,1
147,0.11511269677325486,0
148,0.08160875617018193,1
149,0.8286300331343922,0
150,0.8399510809581466,1
151,0.652805457001445,0
152,0.06729620917042822,1
153,0.8729969959331779,0
154,0.5789173168172963,0
155,0.9134195293699499,1
156,0.0025299379798386923,1
157,0.5384405668809675,0
158,0.1357857997723344,1
