user_id,user_id_str,user_name,friends,followers,statuses,created_at,protected,verified,location,description,news_source
291849932,"""291849932""",dfwolpert,1115,364,1157,2011-05-02 18:22:53,False,False,"Dallas, TX",Public Relations & Communications. Think outside the box.,cbsnews
164939499,"""164939499""",ceereed75,606,512,2888,2010-07-10 04:16:51,False,False,Connecticut,"CEE REED
Northeast Abilities",cbsnews
120889475,"""120889475""",baldmandan,234,139,100,2010-03-07 22:11:47,False,False,Las Vegas,"Email and internet marketer, with database and campaign management spanning targeted local direct mail projects to international marketing. Former editor & Vet.",cbsnews
1252136190297473024,"""1252136190297473024""",mrsugs,580,202,435,2020-04-20 07:25:29,False,False,"New York, NY",associate producer @cbsthismorning // michigan @fordschool grad // @cspaworkshop alum // living in isolation nation // RTs ≠ endorsements,cbsnews
722654558,"""722654558""",ValorieHawk,1344,314,1991,2012-07-28 18:52:22,False,False,"Washington State, USA","FounderC50 State Pain Advoc, Former Congressional Staffer, Lobbyist, Campaigns #1MMEnot4Me #CDCkills #Working4FairPainPolicy #VoteBlue #HILavaAteMyHome #BLM",cbsnews
230642371,"""230642371""",TommyRedP,520,167,1411,2010-12-26 06:13:59,False,False,"Los Angeles, CA","Tommy Red
 Lives in L.A. & works in the Ent. Biz; as an Executive Producer/Photographer for Videos, TV, Film, & Documentary Programming.",cbsnews
1109930626084491267,"""1109930626084491267""",IamKasheyJ,1453,566,7803,2019-03-24 21:30:57,False,False,"North Carolina, USA",14-year-old blind producer and Artist 🔥 Instagram - iamkasheyj https://t.co/dO0e9XGEha,cbsnews
2882169360,"""2882169360""",DrGlennJohnson,887,109,694,2014-10-29 14:23:09,False,False,"Houston, TX",Environmental Justice Expert,cbsnews
714107677916454912,"""714107677916454912""",d_pollock30,713,290,482,2016-03-27 15:11:52,False,False,"Pennsylvania, USA",412 | Miami U ‘23,cbsnews
75175480,"""75175480""",sluribe,986,284,426,2009-09-18 02:08:35,False,False,"San Jose, CA",,cbsnews
1280347365321461762,"""1280347365321461762""",_ZzanazZ_,687,113,108,2020-07-07 03:46:33,False,False,"Texas, USA",,cbsnews
824391055,"""824391055""",Fatcatcandy,3869,276,812,2012-09-15 02:21:55,False,False,United States,,cbsnews
